area,setting,survey,gear_type,station,Net ID,net_length_m,net_depth_m,mesh_size_mm,valid_set,year,date_and_time_set,date_and_time_checked,total_soaktime_h,lktr_caught,lktr_wt_g,lktr_wt_kg,lktr_npue_num_per100m2_per24h,lktr_bpue_g_per100m2_per24h,lktr_npue_num_perm2_per24h,lktr_bpue_g_perm2_per24h,lktr_bpue_kg_perm2_per24h,notes_cl
IW,bot,FIH,coney,14,,182.88,6.858,133,Y,2011,7/4/2011 0:00,7/5/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,22,,182.88,6.858,133,Y,2011,7/4/2011 0:00,7/5/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,22,,182.88,6.858,133,Y,2011,7/5/2011 0:00,7/6/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,21,,182.88,6.858,133,Y,2011,7/6/2011 0:00,7/7/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,26,,182.88,6.858,133,Y,2011,7/7/2011 0:00,7/8/2011 0:00,24,1,5980,5.98,0.07973267,476.8013651,0.000797327,4.768013651,0.004768014,
IW,bot,FIH,coney,8,,182.88,6.858,133,Y,2011,7/11/2011 0:00,7/12/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,28,,182.88,6.858,133,Y,2011,7/11/2011 0:00,7/12/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,35,,182.88,6.858,133,Y,2011,7/11/2011 0:00,7/12/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,36,,182.88,6.858,133,Y,2011,7/12/2011 0:00,7/13/2011 0:00,24,,,0,0,0,0,0,0,
IE,bot,FIH,coney,39,,182.88,6.858,133,Y,2011,7/12/2011 0:00,7/13/2011 0:00,24,1,4170,4.17,0.07973267,332.4852329,0.000797327,3.324852329,0.003324852,
IE,bot,FIH,coney,21,,182.88,6.858,133,Y,2011,7/13/2011 0:00,7/14/2011 0:00,24,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,13,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,19,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,25,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,32,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,10.9728,3.6576,38,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,51,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,64,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,89,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,114,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,p5,FIGS,pelagic,38,,21.9456,3.6576,140,Y,2011,7/13/2011 10:25,7/14/2011 10:19,23.9,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,13,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,19,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,25,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,32,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,10.9728,1.8288,38,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,51,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,,,0,0,0,0,0,0,
IE,bot,FIGS,benthic,38,,21.9456,1.8288,64,Y,2011,7/13/2011 10:47,7/14/2011 11:30,24.72,1,200,0.2,0,483.8799918,0.024194,4.838799918,0.0048388,CL - LKTR caught was 200 - moved to LKTR wt (g) and deleted from LKTR caught (number)
